Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PCED1A,1248.71323842693,-1.17759970981998,0.287817750553163,-4.09147701125706,0.0000428634442518546,0.0000915299262012998
VPS16,1001.98229793499,-1.09477813105453,0.214375182864783,-5.10683240673926,0.000000327604062519055,0.000000877219774845254
PTPRA,3811.58490689497,-0.944011329417085,0.165607444205883,-5.70029526114473,0.0000000119600095661451,0.0000000365541944700209
GNRH2,48.0146514389193,-0.140033435289109,1.08875381506875,-0.128618089186917,0.89765985209711,0.920024712055088
MRPS26,1846.86689570296,1.87890377607466,0.226967020525612,8.27831185219545,0.000000000000000124933697486759,0.000000000000000698193590282023
UBOX5,451.644154986232,-0.7571768237151,0.143548330186752,-5.27471704289445,0.000000132961075006924,0.000000369347874765029
FASTKD5,733.544448093961,-0.463478139806173,0.134799454640876,-3.43827904230727,0.000585424090111195,0.00108674988554573
LZTS3,1403.47478999274,2.89607400354202,0.27477005166828,10.539991479997,0.0000000000000000000000000565040174291854,0.000000000000000000000000572536427674042
DDRGK1,1414.74774172798,-0.658160581047938,0.161686901183579,-4.07058689498083,0.0000468948446102258,0.0000997088648772002
ITPA,1021.36583440634,-0.105381654812881,0.188532718017534,-0.558956853330257,0.576191166988685,0.63178231848111
SLC4A11,151.406960190975,4.62232314309581,0.501213261017014,9.22226824908152,0.0000000000000000000290880687532548,0.000000000000000000207999213779566
RP4-794I6.4,20.2488866256188,3.3909780162909,0.854210875722945,3.9697200219103,0.0000719571343015306,0.000149725082983236
C20orf194,985.33862184096,0.0694870256767544,0.308232844006368,0.22543679892633,0.821639486925552,0.854522711059426
ATRN,2425.96298165721,-0.251237671344874,0.171782615021945,-1.46253258115077,0.143595322837206,0.183632763268201
SF3A3P1,8.56888299985927,2.03664457994299,0.584433325379408,3.48481938229792,0.000492469345047383,0.000923120097960475
ADAM33,99.3252109866149,3.25153752603985,0.961899328566678,3.38033038331044,0.00072398745730288,0.00132892141680309
SIGLEC1,71.7895320622133,-9.40298244825904,1.21389070731553,-7.74615242673153,0.0000000000000094718800552307,0.0000000000000459763763318704
HSPA12B,170.714243659382,3.27376426112215,0.71740085721562,4.56336820369619,0.00000503394156776259,0.0000119041461399904
C20orf27,2006.87877443021,0.310289654674145,0.299685300654161,1.03538496548492,0.300489164146165,0.357456796672284
SPEF1,51.5167226605703,1.28027580267669,0.825551245453317,1.55081324112555,0.120946446486729,0.157149257816201
CENPB,3313.47183103154,-1.00838005247249,0.218700805705795,-4.61077429147201,0.00000401171926352636,0.00000957715951002501
CDC25B,3411.81600753045,-2.91346174756447,0.232864298437639,-12.511414446576,0.00000000000000000000000000000000000646624460131299,0.000000000000000000000000000000000111570207456987
AP5S1,309.951993591052,-2.12045421973746,0.271327820809481,-7.8151006167052,0.00000000000000549191423212874,0.0000000000000270520574138769
MAVS,3095.45746057927,-0.721886049310044,0.177657435364766,-4.06335962144149,0.0000483714176180278,0.000102735626235678
